iter	Passed	Remaining
354	1289	2342
355	1292	2338
356	1296	2335
357	1301	2334
358	1304	2329
359	1308	2325
360	1311	2320
361	1313	2315
362	1316	2309
363	1321	2308
364	1323	2301
365	1325	2295
366	1327	2289
367	1334	2292
368	1336	2285
369	1338	2279
370	1340	2273
371	1344	2269
372	1346	2263
373	1348	2257
374	1351	2252
375	1354	2248
376	1356	2242
377	1358	2236
378	1361	2230
379	1363	2224
380	1365	2219
381	1370	2216
382	1372	2210
383	1374	2204
384	1376	2198
385	1378	2193
386	1383	2190
387	1385	2184
388	1387	2178
389	1389	2173
390	1392	2169
391	1394	2163
392	1397	2158
393	1399	2152
394	1401	2146
395	1406	2145
396	1409	2141
397	1412	2136
398	1414	2130
399	1416	2125
400	1419	2120
401	1422	2116
402	1424	2110
403	1426	2104
404	1428	2098
405	1430	2093
406	1433	2087
407	1435	2083
408	1437	2077
409	1440	2073
410	1443	2068
411	1445	2063
412	1448	2058
413	1450	2052
414	1453	2049
415	1457	2046
416	1460	2041
417	1462	2036
418	1464	2030
419	1467	2027
420	1469	2021
421	1472	2016
422	1474	2011
423	1476	2006
424	1480	2003
425	1482	1998
426	1485	1993
427	1488	1988
428	1490	1983
429	1493	1979
430	1495	1974
431	1497	1969
432	1499	1963
433	1502	1958
434	1506	1956
435	1508	1951
436	1510	1946
437	1513	1941
438	1516	1937
439	1522	1937
440	1524	1932
441	1527	1927
442	1529	1922
443	1534	1921
444	1536	1916
445	1539	1911
446	1541	1906
447	1544	1903
448	1547	1898
449	1549	1893
450	1551	1888
451	1553	1883
452	1556	1879
453	1558	1874
454	1561	1869
455	1563	1864
456	1565	1859
457	1567	1854
458	1569	1850
459	1571	1844
460	1573	1840
461	1576	1836
462	1579	1831
463	1582	1828
464	1586	1824
465	1590	1822
466	1595	1820
467	1599	1818
468	1606	1818
469	1610	1816
470	1613	1812
471	1616	1808
472	1621	1806
473	1624	1802
474	1626	1797
475	1628	1792
476	1632	1790
477	1635	1786
478	1637	1781
479	1640	1776
480	1645	1775
481	1648	1771
482	1650	1766
483	1652	1761
484	1656	1759
485	1661	1756
486	1663	1752
487	1665	1747
488	1667	1742
489	1671	1739
490	1673	1734
491	1675	1730
492	1677	1725
493	1681	1722
494	1683	1717
495	1687	1714
496	1689	1710
497	1691	1705
498	1694	1701
499	1699	1699
500	1702	1695
501	1706	1692
502	1708	1687
503	1710	1682
504	1711	1678
505	1714	1673
506	1718	1670
507	1720	1666
508	1722	1661
509	1724	1656
510	1726	1652
511	1729	1647
512	1732	1644
513	1734	1639
514	1735	1634
515	1737	1629
516	1739	1625
517	1745	1623
518	1747	1619
519	1749	1614
520	1751	1610
521	1753	1606
522	1757	1602
523	1759	1598
524	1761	1593
525	1763	1589
526	1765	1584
527	1770	1582
528	1772	1577
529	1774	1573
530	1776	1568
531	1778	1564
532	1781	1561
533	1784	1557
534	1786	1552
535	1789	1549
536	1792	1545
537	1796	1542
538	1798	1538
539	1800	1534
540	1802	1529
541	1806	1526
542	1808	1521
543	1810	1517
544	1812	1513
545	1815	1509
546	1820	1507
547	1822	1503
548	1825	1499
549	1827	1495
550	1829	1491
551	1834	1489
552	1836	1484
553	1838	1480
554	1840	1476
555	1843	1472
556	1845	1468
557	1847	1463
558	1849	1459
559	1851	1455
560	1854	1451
561	1858	1448
562	1861	1444
563	1864	1441
564	1866	1437
565	1870	1434
566	1872	1429
567	1874	1426
568	1878	1422
569	1880	1418
570	1882	1414
571	1884	1409
572	1885	1405
573	1887	1401
574	1892	1398
575	1894	1394
576	1896	1390
577	1898	1386
578	1900	1381
579	1904	1379
580	1907	1375
581	1910	1372
582	1912	1367
583	1915	1364
584	1919	1361
585	1922	1358
586	1924	1354
587	1927	1350
588	1931	1347
589	1932	1343
590	1937	1340
591	1940	1337
592	1942	1333
593	1945	1329
594	1948	1326
595	1953	1324
596	1955	1320
597	1957	1316
598	1959	1311
599	1963	1309
600	1965	1304
601	1967	1300
602	1971	1297
603	1974	1294
604	1978	1291
605	1983	1289
606	1985	1285
607	1988	1282
608	1991	1278
609	1993	1274
610	1995	1270
611	1997	1266
612	2001	1263
613	2004	1259
614	2005	1255
615	2008	1251
616	2010	1247
617	2015	1245
618	2017	1241
619	2020	1238
620	2022	1234
621	2027	1232
622	2029	1228
623	2032	1224
624	2033	1220
625	2035	1216
626	2041	1214
627	2043	1210
628	2045	1206
629	2047	1202
630	2048	1198
631	2050	1194
632	2053	1190
633	2057	1187
634	2059	1183
635	2061	1179
636	2066	1177
637	2068	1173
638	2071	1170
639	2073	1166
640	2076	1163
641	2078	1159
642	2080	1154
643	2081	1150
644	2084	1147
645	2086	1143
646	2089	1140
647	2091	1136
648	2093	1132
649	2095	1128
650	2097	1124
651	2099	1120
652	2101	1116
653	2103	1113
654	2105	1109
655	2107	1105
656	2109	1101
657	2114	1099
658	2116	1095
659	2119	1091
660	2121	1087
661	2123	1084
662	2127	1081
663	2131	1078
664	2133	1074
665	2136	1071
666	2144	1070
667	2146	1066
668	2148	1063
669	2153	1060
670	2157	1057
671	2160	1054
672	2165	1052
673	2167	1048
674	2169	1044
675	2171	1040
676	2176	1038
677	2179	1035
678	2181	1031
679	2183	1027
680	2185	1023
681	2190	1021
682	2193	1017
683	2195	1014
684	2197	1010
685	2200	1007
686	2203	1003
687	2205	1000
688	2207	996
689	2209	992
690	2211	989
691	2215	985
692	2218	982
693	2220	979
694	2223	975
695	2225	972
696	2227	968
697	2229	964
698	2231	961
699	2234	957
700	2236	953
701	2238	950
702	2241	946
703	2243	943
704	2245	939
705	2247	935
706	2249	932
707	2251	928
708	2253	924
709	2255	921
710	2259	918
711	2261	914
712	2263	911
713	2265	907
714	2267	903
715	2269	900
716	2273	897
717	2275	893
718	2277	889
719	2278	886
720	2281	882
721	2286	880
722	2288	876
723	2290	873
724	2292	869
725	2295	866
726	2297	862
727	2301	859
728	2303	856
729	2305	852
730	2310	850
731	2314	847
732	2316	843
733	2319	840
734	2322	837
735	2325	834
736	2327	830
737	2329	827
738	2332	823
739	2335	820
740	2337	817
741	2339	813
742	2341	810
743	2347	807
744	2349	804
745	2351	800
746	2353	796
747	2355	793
748	2360	790
749	2363	787
750	2365	784
751	2369	781
752	2372	778
753	2374	774
754	2377	771
755	2379	768
756	2382	764
757	2385	761
758	2389	758
759	2395	756
760	2397	753
761	2399	749
762	2401	745
763	2409	744
764	2413	741
765	2415	737
766	2418	734
767	2422	731
768	2425	728
769	2427	725
770	2429	721
771	2432	718
772	2435	715
773	2438	712
774	2442	709
775	2444	705
776	2446	702
777	2448	698
778	2449	694
779	2451	691
780	2455	688
781	2457	685
782	2459	681
783	2461	678
784	2463	674
785	2466	671
786	2468	668
787	2470	664
788	2472	661
789	2473	657
790	2475	654
791	2478	650
792	2480	647
793	2482	644
794	2485	640
795	2486	637
796	2489	634
797	2492	630
798	2494	627
799	2495	623
800	2498	620
801	2500	617
802	2503	614
803	2505	610
804	2507	607
805	2510	604
806	2511	600
807	2516	597
808	2518	594
809	2521	591
810	2523	588
811	2525	584
812	2530	581
813	2532	578
814	2534	575
815	2536	571
816	2541	569
817	2543	565
818	2545	562
819	2547	559
820	2548	555
821	2550	552
822	2554	549
823	2557	546
824	2559	542
825	2561	539
826	2563	536
827	2566	533
828	2569	529
829	2570	526
830	2572	523
831	2574	519
832	2576	516
833	2578	513
834	2581	510
835	2583	506
836	2585	503
837	2586	500
838	2588	496
839	2591	493
840	2593	490
841	2596	487
842	2598	483
843	2600	480
844	2602	477
845	2604	474
846	2605	470
847	2607	467
848	2609	464
849	2611	460
850	2614	457
851	2616	454
852	2617	451
853	2619	447
854	2622	444
855	2624	441
856	2626	438
857	2628	435
858	2630	431
859	2632	428
860	2634	425
861	2636	422
862	2638	418
863	2640	415
864	2642	412
865	2644	409
866	2647	406
867	2652	403
868	2655	400
869	2658	397
870	2660	394
871	2665	391
872	2668	388
873	2671	385
874	2673	381
875	2676	378
876	2680	375
877	2683	372
878	2685	369
879	2687	366
880	2690	363
881	2692	360
882	2694	357
883	2696	353
884	2700	350
885	2702	347
886	2704	344
887	2707	341
888	2708	338
889	2711	335
890	2714	332
891	2716	328
892	2718	325
893	2720	322
894	2722	319
895	2724	316
896	2726	313
897	2728	309
898	2731	306
899	2733	303
900	2736	300
901	2738	297
902	2740	294
903	2742	291
904	2744	288
905	2746	284
906	2749	281
907	2752	278
908	2755	275
909	2757	272
910	2758	269
911	2761	266
912	2763	263
913	2765	260
914	2767	257
915	2769	253
916	2771	250
917	2773	247
918	2775	244
919	2777	241
920	2778	238
921	2781	235
922	2783	232
923	2785	229
924	2786	225
925	2789	222
926	2791	219
927	2793	216
928	2796	213
929	2798	210
930	2800	207
931	2802	204
932	2804	201
933	2806	198
934	2809	195
935	2811	192
936	2813	189
937	2815	186
938	2816	182
939	2818	179
940	2823	177
941	2827	174
942	2829	171
943	2831	167
944	2834	164
945	2836	161
946	2838	158
947	2840	155
948	2842	152
949	2844	149
950	2846	146
951	2847	143
952	2849	140
953	2851	137
954	2853	134
955	2855	131
956	2858	128
957	2859	125
958	2861	122
959	2863	119
960	2865	116
961	2869	113
962	2872	110
963	2874	107
964	2877	104
965	2881	101
966	2887	98
967	2889	95
968	2895	92
969	2900	89
970	2902	86
971	2905	83
972	2912	80
973	2914	77
974	2916	74
975	2919	71
976	2923	68
977	2926	65
978	2932	62
979	2935	59
980	2939	56
981	2941	53
982	2943	50
983	2945	47
984	2948	44
985	2950	41
986	2952	38
987	2954	35
988	2956	32
989	2959	29
990	2961	26
991	2963	23
992	2965	20
993	2967	17
994	2970	14
995	2972	11
996	2974	8
997	2976	5
998	2978	2
999	2980	0
